id,saved_listing_id,airbnb_listing_id,listing_url,title,property_type,bedrooms,baths,accommodates,beds,rating,reviews,similarity_score,pool_score,effective_rank_score,tenure_runs,price_reliability_score,last_nightly_price,status,price_date,lat,lng,amenities,is_weekend,is_holiday
f37321e3-f135-450b-873f-9c7ed45dd344,bdef28dc-2134-40b8-875d-350f7c28a0fe,1204667553063976181,https://www.airbnb.com/rooms/1204667553063976181?adults=5&check_in=2026-04-17&check_out=2026-04-19&search_mode=regular_search&source_impression_id=p3_1774522230_P36duNkuX6VN5aqp&previous_page_section_name=1000&federated_search_id=f4cbfedb-0218-460c-bd82-ff1d4c1f6cbf,Luxury 2BR Apt Top Floor Near FB HQ,entire_home,2.0,,,,4.98,,0.567,0.567,0.567,1.0,1.0,425.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
728aa273-cf1d-4319-988b-a3bf397eafc6,bdef28dc-2134-40b8-875d-350f7c28a0fe,43615861,https://www.airbnb.com/rooms/43615861?adults=5&check_in=2026-04-16&check_out=2026-04-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1774522231_P3i5kIPR9sCFyZsw&previous_page_section_name=1000&federated_search_id=f4cbfedb-0218-460c-bd82-ff1d4c1f6cbf,Apr 16 to 20,entire_home,2.0,1.0,,,4.86,,0.564,0.564,0.564,1.0,1.0,164.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
f9eedf4d-6cd2-4b2e-87c9-b39ff4b12284,bdef28dc-2134-40b8-875d-350f7c28a0fe,764994985452194507,https://www.airbnb.com/rooms/764994985452194507?adults=5&check_in=2026-03-26&check_out=2026-03-28&search_mode=regular_search&source_impression_id=p3_1774568620_P3lyNVC5LTFXG8Ga&previous_page_section_name=1000&federated_search_id=cbfb40a8-2af0-499d-9c74-3eb0ed302c96,Chique 2-bedroom home near Stanford Hospitals,entire_home,2.0,1.0,6.0,,4.83,12.0,0.567,0.567,0.567,3.0,1.0,369.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
520b9cb2-0dbf-4a5a-afc1-dc6a1afb7d0d,bdef28dc-2134-40b8-875d-350f7c28a0fe,1232842270249861447,https://www.airbnb.com/rooms/1232842270249861447?adults=5&check_in=2026-03-26&check_out=2026-03-28&search_mode=regular_search&source_impression_id=p3_1774568620_P3plU61pbSGJEfdg&previous_page_section_name=1000&federated_search_id=cbfb40a8-2af0-499d-9c74-3eb0ed302c96,The Patio Paradise,entire_home,2.0,,,,4.91,,0.567,0.567,0.567,3.0,1.0,251.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
acc8e97d-6b5d-49ff-b323-215317b97af3,bdef28dc-2134-40b8-875d-350f7c28a0fe,49214630,https://www.airbnb.com/rooms/49214630?adults=5&check_in=2026-03-28&check_out=2026-03-30&search_mode=regular_search&source_impression_id=p3_1774568629_P3A83GEVeindcint&previous_page_section_name=1000&federated_search_id=f1bd0d0e-df38-4dda-968e-83c8aacfb2b4,🌟Cheerful 2B2B in prime location 🌲Redwood Pl Apt 3,entire_home,2.0,,,,4.94,,0.567,0.567,0.567,3.0,1.0,271.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
443f4027-e94d-4545-829f-12f92aaa2e05,bdef28dc-2134-40b8-875d-350f7c28a0fe,31883013,https://www.airbnb.com/rooms/31883013?adults=5&check_in=2026-04-01&check_out=2026-04-03&search_mode=regular_search&source_impression_id=p3_1774855097_P3tg8lw1tl9FWfmV&previous_page_section_name=1000&federated_search_id=e5b8cbca-6e4e-405c-a703-b3a8c0783d26,Guesthouse in Belmont,entire_home,2.0,,,,4.88,,0.567,0.567,0.567,4.0,1.0,336.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
a3e515fb-0c8f-4d05-8b4b-44af75277e15,bdef28dc-2134-40b8-875d-350f7c28a0fe,1335246869094234325,https://www.airbnb.com/rooms/1335246869094234325?adults=5&check_in=2026-04-01&check_out=2026-04-03&search_mode=regular_search&source_impression_id=p3_1774568647_P3Fy_--Z1SYyqv0X&previous_page_section_name=1000&federated_search_id=4f21f00b-ac0d-4553-81b0-4d54b16f4499,San Mateo Happy Haven Home w Patio/Projector,entire_home,2.0,,,,4.73,,0.567,0.567,0.567,2.0,1.0,420.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
9ab0e067-a274-4184-9e6b-63cbe60c86c4,bdef28dc-2134-40b8-875d-350f7c28a0fe,745930149256585409,https://www.airbnb.com/rooms/745930149256585409?adults=5&check_in=2026-04-01&check_out=2026-04-03&search_mode=regular_search&source_impression_id=p3_1774522542_P3HOcXwFCalouc1G&previous_page_section_name=1000&federated_search_id=dd749819-7967-491c-bf27-5c8b142d6010,Eagle Hill Craftsman,entire_home,2.0,,,,4.86,,0.567,0.567,0.567,2.0,1.0,354.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
3d6136c0-6d5a-4112-ba07-c64faed381fc,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,720401822168599749,https://www.airbnb.com/rooms/720401822168599749?adults=10&check_in=2026-03-31&check_out=2026-04-02&search_mode=regular_search&source_impression_id=p3_1774836151_P3j48VRlA1Hw725A&previous_page_section_name=1000&federated_search_id=54725a29-1220-4f91-92c8-a4bedcaffa90,5BR Family Home Near Seattle | Parks & Playgrounds,entire_home,5.0,2.0,10.0,,4.9,61.0,0.567,0.567,0.567,2.0,1.0,335.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
9c80f82f-52b6-44a4-9d89-a6eb50a8add1,bdef28dc-2134-40b8-875d-350f7c28a0fe,51705212,https://www.airbnb.com/rooms/51705212?adults=5&check_in=2026-04-07&check_out=2026-04-09&search_mode=regular_search&source_impression_id=p3_1774568674_P3anxDxhvYlNmLih&previous_page_section_name=1000&federated_search_id=e7a291d1-1a9b-4b85-a52b-9b9d7d5f43f2,Airy Modern 2BR/2BA - Parking + Laundry + Sleep 6,entire_home,2.0,2.0,6.0,,4.81,538.0,0.669,0.669,0.669,3.0,1.0,211.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
