feature,importance,weight,gain,cover,total_gain,total_cover
location_city_Springville,0.00850309431552887,29.0,0.1054786667227745,2226.431884765625,3.0588812828063965,64566.52734375
reviews,0.008098858408629894,1285.0,0.10046423226594925,354.7123107910156,129.09654235839844,455805.3125
location_city_Shoreline,0.008063925430178642,106.0,0.10003089159727097,1274.7078857421875,10.60327434539795,135119.03125
baths,0.0077904085628688335,1328.0,0.09663798660039902,247.64878845214844,128.3352508544922,328877.59375
is_weekend,0.00745408283546567,919.0,0.09246595203876495,138.25453186035156,84.97621154785156,127055.9140625
lead_time_bucket_days_15_30,0.007436067331582308,124.0,0.09224247932434082,219.74681091308594,11.438067436218262,27248.60546875
location_city_Visalia,0.007356530521064997,468.0,0.09125584363937378,277.8103332519531,42.707733154296875,130015.234375
rating,0.007219696417450905,4499.0,0.08955845236778259,358.1382141113281,402.9234924316406,1611263.875
days_since_first_seen,0.006789883598685265,1380.0,0.08422673493623734,332.8934326171875,116.23289489746094,459392.9375
location_city_Kenmore,0.006425336003303528,153.0,0.07970461994409561,1618.4827880859375,12.194807052612305,247627.859375
location_city_Palo Alto,0.005632816813886166,89.0,0.0698736235499382,1654.93798828125,6.218752384185791,147289.484375
location_city_Lynnwood,0.005394577514380217,150.0,0.06691832840442657,608.10498046875,10.037749290466309,91215.75
location_city_San Francisco,0.005336429923772812,124.0,0.06619702279567719,553.3220825195312,8.208431243896484,68611.9375
location_city_Long Beach,0.005214597564190626,177.0,0.06468572467565536,906.8473510742188,11.449373245239258,160511.984375
location_city_Burien,0.004414699971675873,67.0,0.054763201624155045,2054.8203125,3.6691346168518066,137672.96875
price_reliability_score,0.004299805033951998,2116.0,0.05333796143531799,242.460693359375,112.86312866210938,513046.8125
location_city_Renton,0.003736130427569151,198.0,0.046345725655555725,1723.0579833984375,9.176453590393066,341165.46875
tenure_runs,0.003549525747075677,1156.0,0.044030942022800446,356.5933837890625,50.8997688293457,412221.9375
location_city_San Mateo,0.003063313430175185,116.0,0.037999603897333145,1394.96826171875,4.407954216003418,161816.3125
